"Status","Name","Duration in ms","Description"
"passed","com.greenfoxacademy.TC05_DataListTest.byTheNumbersListElementsShouldEqualWithManuallyCreatedList","2185","Compare By the numbers list elements with the created list"
"passed","com.greenfoxacademy.TC07_08_DataEntryTest.shouldCreateThreeNewWikiPage","2753","After login, create new Wiki Pages with some content from wikiPages.csv file. Log out after every new page."
"passed","com.greenfoxacademy.TC06_PaginationTest.shouldNavigateToNextPage","3929","List the last changes and navigate to the next page"
"passed","com.greenfoxacademy.TC01_02_RegisterPageTest.registrationShouldFailWithMismatchedPassword","1420","Unsuccessful registration due to non-acceptance of privacy policy"
"passed","com.greenfoxacademy.TC01_02_RegisterPageTest.registrationShouldSuccess","3650","Successfully registration after open and read the Privacy Policy"
"passed","com.greenfoxacademy.TC07_08_DataEntryTest.shouldCreateThreeNewWikiPage","2778","After login, create new Wiki Pages with some content from wikiPages.csv file. Log out after every new page."
"passed","com.greenfoxacademy.TC03_04_LoginTest.loginShouldFailWithInvalidUsername","1001","Unsuccessful login with invalid username"
"passed","com.greenfoxacademy.TC11_SaveDataTest.shouldSaveByTheNumbersListElementsToTxt","3811","Save By the numbers list elements to By-The-Numbers.txt"
"passed","com.greenfoxacademy.TC12_LogoutTest.shouldSuccessfullyLogoutAfterLogin","3177","Successful logout after login with the previously created user"
"passed","com.greenfoxacademy.TC03_04_LoginTest.shouldLoginWithTheCreatedUserInRegisterPageTest","3361","Successful login with the previously created user"
"passed","com.greenfoxacademy.TC07_08_DataEntryTest.shouldCreateNewWikiPage","2802","Create a new Wiki Page with some content after login"
"passed","com.greenfoxacademy.TC09_DataModifyTest.shouldModifyWikiPageContent","4337","Modify the previously created Wiki Page with specified content"
"passed","com.greenfoxacademy.TC07_08_DataEntryTest.shouldCreateThreeNewWikiPage","4328","After login, create new Wiki Pages with some content from wikiPages.csv file. Log out after every new page."
"passed","com.greenfoxacademy.TC10_DataDeleteTest.shouldModifyWikiPageContent","4274","Delete the previously modified Wiki Page content"
